طابع زمني,السنة الدراسية,هل ترى التعليم عن بعد مفيد ومهم؟,ما هي الخدمات التعليمية التي تود الاشتراك أو الاستفسار عنها؟,من أين علمت عن جينيس؟,مكان السكن,بلد الإقامة,id
2022-09-12 03:08:27,خريج,ربما,"دبلومة البرمجة المتخصصة, دبلومة الديجتال ماركتنج, دبلومة الجرافكس, مبدائ البرمجة التأسيسية",Facebook,المنوفية,,4850
2022-09-12 16:28:01,2nd primairy,نعم,"دبلومة البرمجة المتخصصة, مبدائ البرمجة التأسيسية, الرياضيات ( الماتيفيك )",Facebook,العمرانية,,4851
2022-09-12 16:31:23,مرحلتين المرحلة الأولى كى جى ٢ والمرحلة الثانية الصف الثالث الابتدائي,ربما,"المدرسة الاونلاين, دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, دبلومة الديجتال ماركتنج, كورس اللغة الألمانية, دبلومة الجرافكس, مبدائ البرمجة التأسيسية, القارئ المثقف, الرياضيات ( الماتيفيك ), المستكشف الصغير, القاعدة النورانية",أشخاص بحولى,المنصورة دكرنس,,4852
2022-09-12 17:51:32,9,ربما,"دبلومة البرمجة المتخصصة, دبلومة الجرافكس",Facebook,Mansoura,,4853
2022-09-13 07:18:21,الصف السادس,لا,دبلومة البرمجة المتخصصة,Facebook,مدينة بدر,,4854
2022-09-13 18:38:01,اولى اعدادى,ربما,مبدائ البرمجة التأسيسية,Facebook,بهتيم شبرا الخيمه,,4855
2022-09-13 20:45:12,صف ثاني ابتدائي,ربما,"القارئ المثقف, القاعدة النورانية",Social media,السعوديه/ الرياض,,4856
2022-09-14 00:33:26,بكالريوس تربية,نعم,"المدرسة الاونلاين, كورس اللغة الإنجليزية, دبلومة الديجتال ماركتنج, دبلومة الجرافكس",Facebook,Kuwait,,4857
2022-09-14 01:05:06,السادس,لا,"كورس اللغة الإنجليزية, دبلومة الديجتال ماركتنج, دبلومة الجرافكس",Facebook,الاسكندريه,,4858
2022-09-14 09:18:11,الصف الخامس,نعم,المستكشف الصغير,Facebook,محافظة الشرقية,,4859
2022-09-14 12:55:12,أولى ثانوي,ربما,كورس اللغة الإنجليزية,Facebook,أكتوبر كمبوند الزهور,,4860
2022-09-14 18:57:54,اول ثانوي,نعم,دبلومة البرمجة المتخصصة,Facebook,السعوديه,,4861
2022-09-14 22:32:06,الثالث الاعدادي,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الألمانية, مبدائ البرمجة التأسيسية",من فروع جينيس الاخري السابقة,العبور,,4862
2022-09-14 23:42:32,2 اعدادي,ربما,"دبلومة البرمجة المتخصصة, دبلومة الديجتال ماركتنج, دبلومة الجرافكس, مبدائ البرمجة التأسيسية, المستكشف الصغير",,,,4863
2022-09-15 01:07:07,ثانيه اعدادي,نعم,"دبلومة البرمجة المتخصصة, مبدائ البرمجة التأسيسية",Facebook,جيزه عياط,,4864
2022-09-15 07:59:03,الصف الثاني الاعدادي,ربما,,,مركز جرجا سوهاج,,4865
2022-09-15 12:46:50,الصف الثالث الابتدائي لغات,نعم,دبلومة البرمجة المتخصصة,Facebook,محافظه بنى سويف,,4866
2022-09-15 18:52:52,2022_2023,نعم,مبدائ البرمجة التأسيسية,Facebook,بلطيم,,4867
2022-09-15 22:40:15,الصف الثالث الاععدادي,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, مبدائ البرمجة التأسيسية, المستكشف الصغير",Facebook,Egypt Marsa Matrouh k/2,,4868
2022-09-15 23:22:05,٣ ثانوي,نعم,دبلومة البرمجة المتخصصة,Facebook,الكويت,,4869
2022-09-16 02:20:07,الصف الرابع الابتدائي,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, الرياضيات ( الماتيفيك )",عن طريق بوست,6 of october,,4870
2022-09-16 10:19:01,اولى جامعه,نعم,"دبلومة البرمجة المتخصصة, دبلومة الجرافكس, القاعدة النورانية",Facebook,عرب الرمل قويسنا منوفيه,,4871
2022-09-16 12:01:32,اولي ثانوي,نعم,"دبلومة البرمجة المتخصصة, دبلومة الجرافكس, مبدائ البرمجة التأسيسية",Facebook,قنا,,4872
2022-09-16 12:15:36,PREP ONE,نعم,دبلومة الجرافكس,Facebook,السعودية,,4873
2022-09-16 13:27:45,primary 3,ربما,"مبدائ البرمجة التأسيسية, المستكشف الصغير",Facebook,الفردوس اكتوبر,,4874
2022-09-16 14:11:40,الصف الرابع الابتدائى,ربما,مبدائ البرمجة التأسيسية,وسائل التواصل الاجتماعي,الجيزة عمرانية غربية,,4875
2022-09-16 14:57:01,خريج 2013,ربما,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, مبدائ البرمجة التأسيسية",Facebook,عين شمس الشرقية,,4876
2022-09-16 15:58:00,2023,ربما,كورس اللغة الألمانية,مواقع التواصل الاجتماعي,التجمع الخامس,,4877
2022-09-16 17:15:07,الصف الثالث الثانوي علمي علوم,نعم,"دبلومة البرمجة المتخصصة, مبدائ البرمجة التأسيسية",Facebook,دمياط,,4878
2022-09-16 17:38:29,الاول الاعدادي,نعم,دبلومة البرمجة المتخصصة,Facebook,المنصورة,,4879
2022-09-16 18:01:20,الاولي,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, دبلومة الجرافكس, مبدائ البرمجة التأسيسية, الرياضيات ( الماتيفيك )",Facebook,95 شارع فهمي غالي,,4880
2022-09-16 21:35:46,الصف الرابع,نعم,"المدرسة الاونلاين, كورس اللغة الإنجليزية, مبدائ البرمجة التأسيسية",Facebook,قنا دشنا,,4881
2022-09-17 00:03:12,الثالث الابتدائى,ربما,دبلومة البرمجة المتخصصة,Facebook,طوسون المعمورة,,4882
2022-09-17 00:43:33,Grade 2,لا,,Facebook,التجنع,,4883
2022-09-17 10:18:35,الصف الاول الاعدادي,نعم,مبدائ البرمجة التأسيسية,Facebook,عين شمس الشرقية,,4884
2022-09-17 10:58:46,اولى اعدادى,ربما,دبلومة البرمجة المتخصصة,Facebook,فيصل الجيزة,,4885
2022-09-17 12:36:26,كي جي ٢,نعم,القاعدة النورانية,Facebook,ميامي اسكندرية,,4886
2022-09-17 20:23:36,تانية ابتدائى,نعم,دبلومة البرمجة المتخصصة,Facebook,دهب جنوب سيناء,,4887
2022-09-17 23:11:13,ثاني ابتدائي,نعم,"القارئ المثقف, المستكشف الصغير, القاعدة النورانية",,,,4888
2022-09-17 23:45:33,الثالث الإعدادي,نعم,كورس اللغة الإنجليزية,Facebook,الزقازيق محافظه الشرقيه,,4889
2022-09-17 23:46:22,تأسيس,نعم,"كورس اللغة الألمانية, الرياضيات ( الماتيفيك ), القاعدة النورانية",من الانترنت,الدقهليه,,4890
2022-09-18 00:15:15,الصف الثالث الاعدادي,ربما,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, دبلومة الديجتال ماركتنج, مبدائ البرمجة التأسيسية, القارئ المثقف",Facebook,بني سويف جمهوريه مصر العربيه,,4891
2022-09-18 03:08:07,اولي اعدادي,نعم,دبلومة البرمجة المتخصصة,Facebook,,,4892
2022-09-18 05:36:01,كيجي1,نعم,المدرسة الاونلاين,Facebook,السعوديهً,,4893
2022-09-18 11:34:08,السادس الابتدائي,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, دبلومة الديجتال ماركتنج, مبدائ البرمجة التأسيسية, المستكشف الصغير",Facebook,القاهرة,,4894
2022-09-18 15:28:22,خلصت ثانوية عامه,نعم,مبدائ البرمجة التأسيسية,,المنشيه قنا,,4895
2022-09-18 18:45:53,اولي ثانوي,لا,مبدائ البرمجة التأسيسية,اعلان الفيس بوك,الاسماعيليه,,4896
2022-09-18 21:08:59,الصف الثالث,ربما,مبدائ البرمجة التأسيسية,Facebook,,,4897
2022-09-18 21:34:44,السنة الثانية إبتدائي,ربما,القاعدة النورانية,Facebook,المملكة العربية السعودية,,4898
2022-09-18 23:17:29,KG2,ربما,القاعدة النورانية,Facebook,مصر أسيوط الجديدة,,4899
2022-09-19 01:28:17,الاول الاعدادى,نعم,دبلومة البرمجة المتخصصة,Facebook,الجيزة,,4900
2022-09-19 08:35:20,الصف الاول,ربما,القاعدة النورانية,Facebook,ابو ظبي,,4901
2022-09-19 10:09:00,ثانى اعدادى,نعم,"دبلومة البرمجة المتخصصة, دبلومة الديجتال ماركتنج",Facebook,العاشر من رمضان,,4902
2022-09-19 11:02:43,الصف الرابع الجامعى,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, مبدائ البرمجة التأسيسية",Facebook,القاهرة,,4903
