,School Year,Is online learning crucial?,Who told you about Genius?,Country,year,month,day,hour,Mathematics (Matific),The Educated Reader,Nooraniyah Rule (Quranic Learning),Writers (Quran Memorization),Online School,Little Explorer,Specialized Programming Diploma,Graphics Diploma,Digital Marketing Diploma,German Language Course,English Language Course,Fundamentals of Programming
0,finished school,Maybe,Social Media,Egypt,2022,9,12,3,0,0,0,0,0,0,tick,tick,tick,0,0,tick
1,Grade 2,Yes,Social Media,Egypt,2022,9,12,16,tick,0,0,0,0,0,tick,0,0,0,0,tick
2,kg1,Maybe,Relatives,Egypt,2022,9,12,16,tick,tick,tick,0,tick,tick,tick,tick,tick,tick,tick,tick
3,Grade 9,Maybe,Social Media,Egypt,2022,9,12,17,0,0,0,0,0,0,tick,tick,0,0,0,0
4,Grade 6,No,Social Media,Egypt,2022,9,13,7,0,0,0,0,0,0,tick,0,0,0,0,0
5,Grade 7,Maybe,Social Media,Egypt,2022,9,13,18,0,0,0,0,0,0,0,0,0,0,0,tick
6,Grade 2,Maybe,Social Media,Saudi Arabia,2022,9,13,20,0,tick,tick,0,0,0,0,0,0,0,0,0
7,finished school,Yes,Social Media,Kuwait,2022,9,14,0,0,0,0,0,tick,0,0,tick,tick,0,tick,0
8,Grade 6,No,Social Media,Egypt,2022,9,14,tick,0,0,0,0,0,0,0,tick,tick,0,tick,0
9,Grade 5,Yes,Social Media,Egypt,2022,9,14,9,0,0,0,0,0,tick,0,0,0,0,0,0
10,Grade 10,Maybe,Social Media,Unknown,2022,9,14,12,0,0,0,0,0,0,0,0,0,0,tick,0
11,Grade 10,Yes,Social Media,Saudi Arabia,2022,9,14,18,0,0,0,0,0,0,tick,0,0,0,0,0
12,Grade 9,Yes,Ad,Egypt,2022,9,14,22,0,0,0,0,0,0,tick,0,0,tick,0,tick
13,Grade 8,Maybe,Unknown,Unknown,2022,9,14,23,0,0,0,0,0,tick,tick,tick,tick,0,0,tick
14,Grade 8,Yes,Social Media,Egypt,2022,9,15,tick,0,0,0,0,0,0,tick,0,0,0,0,tick
15,Grade 8,Maybe,Unknown,Egypt,2022,9,15,7,0,0,0,0,0,0,0,0,0,0,0,0
16,Grade 3,Yes,Social Media,Egypt,2022,9,15,12,0,0,0,0,0,0,tick,0,0,0,0,0
